,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
153,last knights,cliveowen morganfreeman akselhennie shohrehaghdashloo jamesbabson,kazuakikiriya,loyalty emperor castle swordfight revenge,action adventure,tt2493486,0.255,cliveowen morganfreeman akselhennie shohrehaghdashloo jamesbabsonkazuakikiriyaaction adventureloyalty emperor castle swordfight revenge
155,irrational man,emmastone joaquinphoenix jamieblackley parkerposey meredithhagner,woodyallen,nan,mystery drama,tt3715320,0.176,emmastone joaquinphoenix jamieblackley parkerposey meredithhagnerwoodyallenmystery dramanan
158,miss you already,drewbarrymore tonicollette dominiccooper jacquelinebisset paddyconsidine,catherinehardwicke,femalefriendship music friendship love cancer,comedy drama romance,tt2245003,0.6270000000000001,drewbarrymore tonicollette dominiccooper jacquelinebisset paddyconsidinecatherinehardwickecomedy drama romancefemalefriendship music friendship love cancer
159,kung fury,davidsandberg jormataccone leopoldnilsson andreascahling heleneahlson,davidsandberg,videogame martialarts kungfu hacker nazis,action comedy sciencefiction fantasy,tt3472226,0.8360000000000001,davidsandberg jormataccone leopoldnilsson andreascahling heleneahlsondavidsandbergaction comedy sciencefiction fantasyvideogame martialarts kungfu hacker nazis
168,suffragette,careymulligan helenabonhamcarter merylstreep benwhishaw brendangleeson,sarahgavron,london biography feminist perioddrama womandirector,drama history,tt3077214,0.585,careymulligan helenabonhamcarter merylstreep benwhishaw brendangleesonsarahgavrondrama historylondon biography feminist perioddrama womandirector
170,we are your friends,zacefron emilyratajkowski wesbentley nickrotteveel alessandrolindblad,maxjoseph,dj,drama music romance,tt3787590,0.211,zacefron emilyratajkowski wesbentley nickrotteveel alessandrolindbladmaxjosephdrama music romancedj
172,macbeth,michaelfassbender marioncotillard paddyconsidine seanharris jackreynor,justinkurzel,scotland shakespeare medieval,history drama war,tt2884018,0.29500000000000004,michaelfassbender marioncotillard paddyconsidine seanharris jackreynorjustinkurzelhistory drama warscotland shakespeare medieval
175,descendants,booboostewart dovecameron keeganconnortracy stephaniebennett danpayne,kennyortega,fairytale villain musical teenmovie teenager,music action adventure comedy family,tt3440298,0.41600000000000004,booboostewart dovecameron keeganconnortracy stephaniebennett danpaynekennyortegamusic action adventure comedy familyfairytale villain musical teenmovie teenager
177,far from the madding crowd,careymulligan matthiasschoenaerts michaelsheen tomsturridge junotemple,thomasvinterberg,sheep ruralsetting housekeeper,romance drama,tt2935476,0.509,careymulligan matthiasschoenaerts michaelsheen tomsturridge junotemplethomasvinterbergromance dramasheep ruralsetting housekeeper
178,the end of the tour,jasonsegel jesseeisenberg annachlumsky mamiegummer joancusack,jamesponsoldt,nan,drama,tt3416744,0.666,jasonsegel jesseeisenberg annachlumsky mamiegummer joancusackjamesponsoldtdramanan
179,the second best exotic marigold hotel,devpatel judidench richardgere maggiesmith billnighy,johnmadden,oldpeople'shome,drama comedy,tt2555736,0.31600000000000006,devpatel judidench richardgere maggiesmith billnighyjohnmaddendrama comedyoldpeople'shome
180,little boy,jakobsalvati emilywatson cary-hiroyukitagawa michaelrapaport davidhenrie,alejandromonteverde,nan,comedy drama war,tt1810683,0.5770000000000001,jakobsalvati emilywatson cary-hiroyukitagawa michaelrapaport davidhenriealejandromonteverdecomedy drama warnan
182,remember,christopherplummer martinlandau deannorris henryczerny brunoganz,atomegoyan,nan,drama thriller,tt3704050,0.8330000000000001,christopherplummer martinlandau deannorris henryczerny brunoganzatomegoyandrama thrillernan
188,the invitation,michielhuisman loganmarshall-green tammyblanchard mikedoyle johncarrolllynch,karynkusama,psychologicalthriller psychothriller womandirector reunitedfriends dinnerparty,thriller,tt2400463,0.28900000000000003,michielhuisman loganmarshall-green tammyblanchard mikedoyle johncarrolllynchkarynkusamathrillerpsychologicalthriller psychothriller womandirector reunitedfriends dinnerparty
193,sleeping with other people,jasonsudeikis alisonbrie adamscott natashalyonne amandapeet,leslyeheadland,sex cheating love malefemalerelationship womandirector,comedy,tt3165612,0.206,jasonsudeikis alisonbrie adamscott natashalyonne amandapeetleslyeheadlandcomedysex cheating love malefemalerelationship womandirector
195,amy,amywinehouse markronson tonybennett petedoherty blakefielder,asifkapadia,jazz drugaddiction overdose biography addiction,documentary music,tt2870648,0.748,amywinehouse markronson tonybennett petedoherty blakefielderasifkapadiadocumentary musicjazz drugaddiction overdose biography addiction
200,freeheld,juliannemoore ellenpage stevecarell michaelshannon lukegrimes,petersollett,newjersey equality lesbiancouple cancer,romance drama,tt1658801,0.576,juliannemoore ellenpage stevecarell michaelshannon lukegrimespetersollettromance dramanewjersey equality lesbiancouple cancer
201,man up,simonpegg lakebell rorykinnear kenstott harrietwalter,benpalmer,bowling blinddate party mistakenidentity weddinganniversary,romance comedy,tt3064298,0.32800000000000007,simonpegg lakebell rorykinnear kenstott harrietwalterbenpalmerromance comedybowling blinddate party mistakenidentity weddinganniversary
203,truth,robertredford cateblanchett elisabethmoss tophergrace dennisquaid,jamesvanderbilt,document biography onewordtitle tvreporter directorialdebut,drama,tt3859076,0.28400000000000003,robertredford cateblanchett elisabethmoss tophergrace dennisquaidjamesvanderbiltdramadocument biography onewordtitle tvreporter directorialdebut
205,danny collins,alpacino annettebening jennifergarner bobbycannavale christopherplummer,danfogelman,rockstar middleage,comedy drama music,tt1772288,0.369,alpacino annettebening jennifergarner bobbycannavale christopherplummerdanfogelmancomedy drama musicrockstar middleage
207,fathers and daughters,amandaseyfried kylierogers russellcrowe aaronpaul quvenzhanã©wallis,gabrielemuccino,widow mentalbreakdown family,drama,tt2582502,0.535,amandaseyfried kylierogers russellcrowe aaronpaul quvenzhanã©wallisgabrielemuccinodramawidow mentalbreakdown family
208,"hello, my name is doris",sallyfield maxgreenfield bethbehrs stephenroot natashalyonne,michaelshowalter,dating middleage,comedy drama romance,tt3766394,0.372,sallyfield maxgreenfield bethbehrs stephenroot natashalyonnemichaelshowaltercomedy drama romancedating middleage
210,99 homes,andrewgarfield lauradern michaelshannon timguinee j.d.evermore,raminbahrani,florida motel finances singlefather mothersonrelationship,drama,tt2891174,0.45,andrewgarfield lauradern michaelshannon timguinee j.d.evermoreraminbahranidramaflorida motel finances singlefather mothersonrelationship
216,lava,napuagreig kuanatorreskahele,jamesfordmurphy,pixaranimatedshort animation pixar short,animation comedy family fantasy music,tt3824386,0.659,napuagreig kuanatorreskahelejamesfordmurphyanimation comedy family fantasy musicpixaranimatedshort animation pixar short
226,batman vs. robin,jasono'mara stuartallan davidmccallum seanmaher jeremysisto,jayoliva,gothamcity robin superpowers dollmaker courtofowls,action adventure animation,tt4324274,0.45,jasono'mara stuartallan davidmccallum seanmaher jeremysistojayolivaaction adventure animationgothamcity robin superpowers dollmaker courtofowls
231,cobain: montage of heck,kurtcobain davegrohl courtneylove kristnovoselic,brettmorgen,nan,music documentary,tt4229236,0.74,kurtcobain davegrohl courtneylove kristnovoselicbrettmorgenmusic documentarynan
235,"mcfarland, usa",kevincostner ramirorodriguez carlospratts johnnyortiz rafaelmartinez,nikicaro,california smalltown coach championship womandirector,drama,tt2097298,0.7140000000000001,kevincostner ramirorodriguez carlospratts johnnyortiz rafaelmartineznikicarodramacalifornia smalltown coach championship womandirector
245,experimenter,petersarsgaard winonaryder edoardoballerini jimgaffigan anthonyedwards,michaelalmereyda,experiment biography controversy,history drama,tt3726704,0.48900000000000005,petersarsgaard winonaryder edoardoballerini jimgaffigan anthonyedwardsmichaelalmereydahistory dramaexperiment biography controversy
254,hidden,alexanderskarsgã¥rd andreariseborough emilyalynlind heatherdoerksen williamainscough,rossduffer mattduffer,helicopter underground nightmare quarantine outbreak,thriller horror,tt2131532,0.32200000000000006,alexanderskarsgã¥rd andreariseborough emilyalynlind heatherdoerksen williamainscoughrossduffer mattdufferthriller horrorhelicopter underground nightmare quarantine outbreak
264,cartel land,roberthetrick josã©manuelmirelesvalverde,matthewheineman,mexico arizona cocaine crack murder,drama documentary,tt4126304,0.737,roberthetrick josã©manuelmirelesvalverdematthewheinemandrama documentarymexico arizona cocaine crack murder
269,strange magic,alancumming evanrachelwood elijahkelley meredithannebull sampalladio,garyrydstrom,elves musical aftercreditsstinger duringcreditsstinger lovepotion,music animation family fantasy,tt4191054,0.159,alancumming evanrachelwood elijahkelley meredithannebull sampalladiogaryrydstrommusic animation family fantasyelves musical aftercreditsstinger duringcreditsstinger lovepotion
270,black or white,kevincostner jenniferehle gillianjacobs octaviaspencer billburr,mikebinder,grievingwidower widower,drama,tt2883434,0.40800000000000003,kevincostner jenniferehle gillianjacobs octaviaspencer billburrmikebinderdramagrievingwidower widower
272,deathgasm,milocawthorne kimberleycrossman samberkley delaneytabron colinmoy,jasonleihowden,newzealand college friendship teenageboy metalband,comedy horror,tt3705412,0.32100000000000006,milocawthorne kimberleycrossman samberkley delaneytabron colinmoyjasonleihowdencomedy horrornewzealand college friendship teenageboy metalband
273,justice league: gods and monsters,benjaminbratt michaelc.hall tamarataylor jasonisaacs pagetbrewster,samliu,dccomics superhero superpowers,action animation fantasy,tt4324302,0.48700000000000004,benjaminbratt michaelc.hall tamarataylor jasonisaacs pagetbrewstersamliuaction animation fantasydccomics superhero superpowers
279,riley's first date?,amypoehler phyllissmith billhader lewisblack mindykaling,joshcooley,motherdaughterrelationship rockmusic girl fatherdaughterrelationship boyfriend,animation family,tt4941804,0.653,amypoehler phyllissmith billhader lewisblack mindykalingjoshcooleyanimation familymotherdaughterrelationship rockmusic girl fatherdaughterrelationship boyfriend
282,the final girls,taissafarmiga malinã…kerman ninadobrev alexanderludwig aliashawkat,toddstrauss-schulson,virgin summercamp movieinmovie murder slowmotionscene,horror comedy,tt2118624,0.361,taissafarmiga malinã…kerman ninadobrev alexanderludwig aliashawkattoddstrauss-schulsonhorror comedyvirgin summercamp movieinmovie murder slowmotionscene
283,he never died,henryrollins booboostewart jordantodosey stevenogg jamescade,jasonkrawczyk,nan,thriller horror comedy drama,tt2386404,0.23600000000000004,henryrollins booboostewart jordantodosey stevenogg jamescadejasonkrawczykthriller horror comedy dramanan
290,where to invade next,michaelmoore kristakiuru timwalker,michaelmoore,germany italy france usa portugal,documentary,tt4897822,0.6110000000000001,michaelmoore kristakiuru timwalkermichaelmooredocumentarygermany italy france usa portugal
291,beasts of no nation,idriselba opeyemifagbohungbe abrahamattah richardpepple amak.abebrese,caryfukunaga,africa basedonnovel childsoldier,drama war,tt1365050,0.734,idriselba opeyemifagbohungbe abrahamattah richardpepple amak.abebresecaryfukunagadrama warafrica basedonnovel childsoldier
307,parallels,jessicarothe michaelmonks markhapka ericjungmann,christopherleone,nan,sciencefiction action,tt3479316,0.15200000000000002,jessicarothe michaelmonks markhapka ericjungmannchristopherleonesciencefiction actionnan
314,spring,loutaylorpucci nadiahilker nicknevern augieduke jeremygardner,aaronmoorhead justinbenson,nan,horror romance sciencefiction,tt3395184,0.31900000000000006,loutaylorpucci nadiahilker nicknevern augieduke jeremygardneraaronmoorhead justinbensonhorror romance sciencefictionnan
334,ronaldo,cristianoronaldo,anthonywonke,biography soccerplayer,documentary,tt5065822,0.31800000000000006,cristianoronaldoanthonywonkedocumentarybiography soccerplayer
335,going clear: scientology and the prison of belief,paulhaggis jasonbeghe alexgibney lawrencewright sherrystringfield,alexgibney,cult scientology,documentary,tt4257858,0.859,paulhaggis jasonbeghe alexgibney lawrencewright sherrystringfieldalexgibneydocumentarycult scientology
338,turbo kid,munrochambers laurenceleboeuf michaelironside aaronjeffery edwinwright,franã§oissimard anoukwhissell yoann-karlwhissell,post-apocalyptic dystopia gore bmx violence,adventure action comedy sciencefiction,tt3672742,0.359,munrochambers laurenceleboeuf michaelironside aaronjeffery edwinwrightfranã§oissimard anoukwhissell yoann-karlwhisselladventure action comedy sciencefictionpost-apocalyptic dystopia gore bmx violence
340,circle,juliebenz carterjenkins cesargarcia mercymalick lisapelikan,aaronhann mariomiscione,survival execution stranger nomemory,drama horror sciencefiction thriller,tt3118452,0.15100000000000002,juliebenz carterjenkins cesargarcia mercymalick lisapelikanaaronhann mariomiscionedrama horror sciencefiction thrillersurvival execution stranger nomemory
346,steve jobs: the man in the machine,bobbelleville chrisannbrennan nolanbushnell jasonchen nickdenton,alexgibney,technology computer history apple,documentary,tt4425064,0.199,bobbelleville chrisannbrennan nolanbushnell jasonchen nickdentonalexgibneydocumentarytechnology computer history apple
363,the stanford prison experiment,billycrudup ezramiller michaelangarano tyesheridan oliviathirlby,kylepatrickalvarez,nan,thriller drama,tt0420293,0.442,billycrudup ezramiller michaelangarano tyesheridan oliviathirlbykylepatrickalvarezthriller dramanan
383,justice league: throne of atlantis,seanastin rosariodawson nathanfillion christophergorham mattlanter,ethanspaulding,superheroteam superpowers,sciencefiction action animation adventure,tt3878542,0.31800000000000006,seanastin rosariodawson nathanfillion christophergorham mattlanterethanspauldingsciencefiction action animation adventuresuperheroteam superpowers
